"DATE","BSCNAME","SITENAME","CELLNAME","TRAFFIC_2G","HTRAFFIC_2G","EDL_TRAF","EUL_TRAF","GDL_TRAF","GUL_TRAF","DATA_2G"
"26/05/2025","SON_LA_2","SL_VHO_VAN_HO_3","SL_VHO_VAN_HO_3_1","0.15","0","","","","",""
"26/05/2025","SON_LA_2","SL_VHO_VAN_HO_3","SL_VHO_VAN_HO_3_2","0.42","0","","","","",""
"26/05/2025","SON_LA_2","SL_YCU_TU_NANG_2","SL_YCU_TU_NANG_2_1","0.28","0","","","","",""
"26/05/2025","SON_LA_2","SL_YCU_TU_NANG_2","SL_YCU_TU_NANG_2_2","0.11","0","","","","",""
"26/05/2025","SON_LA_2","SL_YCU_TU_NANG_2","SL_YCU_TU_NANG_2_3","0.59","0","","","","",""
"26/05/2025","TUYEN_QUANG","TQG_YSN_NM_Z129","TQG_YSN_NM_Z129_1","0.39","0","","","","",""
"26/05/2025","TUYEN_QUANG","TQG_YSN_NM_Z129","TQG_YSN_NM_Z129_2","0.26","0","","","","",""
"26/05/2025","TUYEN_QUANG","TQG_YSN_NM_Z129","TQG_YSN_NM_Z129_3","0.13","0.09","","","","",""
"26/05/2025","TUYEN_QUANG","TQG_YSN_PHU_LAM_2","TQG_YSN_PHU_LAM_2_1","0.1","0","","","","",""
"26/05/2025","TUYEN_QUANG","TQG_YSN_PHU_LAM_2","TQG_YSN_PHU_LAM_2_3","0.1","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_BXN_DAO_DUC","VP_BXN_DAO_DUC_1","0.57","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_BXN_DAO_DUC","VP_BXN_DAO_DUC_2","0.61","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_BXN_DAO_DUC","VP_BXN_DAO_DUC_3","0.17","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_BXN_THIEN_KE","VP_BXN_THIEN_KE_1","0.33","0.33","","","","",""
"26/05/2025","VINH_PHUC_1","VP_BXN_THIEN_KE","VP_BXN_THIEN_KE_2","0.33","0.33","","","","",""
"26/05/2025","VINH_PHUC_1","VP_BXN_THIEN_KE","VP_BXN_THIEN_KE_3","0.53","0.53","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_CAO_DANG_SP_2","VP_PYN_CAO_DANG_SP_2_5","0.09","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_DAI_LAI_3","VP_PYN_DAI_LAI_3_1","1.48","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_DAI_LAI_3","VP_PYN_DAI_LAI_3_2","0.64","0.02","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_HONDA_VN","VP_PYN_HONDA_VN_1","0.63","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_HONDA_VN","VP_PYN_HONDA_VN_2","0.07","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_HONDA_VN","VP_PYN_HONDA_VN_3","1.07","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_NGA_3_TIEN_CHAU","VP_PYN_NGA_3_TIEN_CHAU_1","0.08","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_NGA_3_TIEN_CHAU","VP_PYN_NGA_3_TIEN_CHAU_2","0.24","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_NGA_3_TIEN_CHAU","VP_PYN_NGA_3_TIEN_CHAU_3","0.14","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_NGOC_THANH","VP_PYN_NGOC_THANH_1","0.11","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_NGOC_THANH","VP_PYN_NGOC_THANH_2","0.17","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_NGOC_THANH","VP_PYN_NGOC_THANH_3","0.03","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_PHUC_THANG","VP_PYN_PHUC_THANG_1","0.4","0","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_PHUC_THANG","VP_PYN_PHUC_THANG_2","0.63","0.41","","","","",""
"26/05/2025","VINH_PHUC_1","VP_PYN_PHUC_THANG","VP_PYN_PHUC_THANG_3","0.21","0","","","","",""
